Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost,Color,Owner_Type,State,Insurance_Status,Manufacturing_Plant,Number_of_Repairs,Previous_Accidents,Body_Type
4816,Hyundai,i20,2018,Petrol,Automatic,3120000,29.1,1800,7,7600,Silver,Second,Delhi,Not Insured,Gurgaon,6,5,Coupe
4817,Kia,Sonet,2018,Electric,Manual,750000,12.2,2500,5,11600,White,Fourth & Above,Delhi,Insured,Surat,10,3,Convertible
4818,Kia,EV6,2018,CNG,Manual,3240000,22.3,1200,4,16900,White,Second,Gujarat,Insured,Gurgaon,9,4,Coupe
4819,Skoda,Kushaq,2018,CNG,Manual,1880000,11.4,2500,7,21700,Red,Second,Karnataka,Insured,Sanand,3,2,SUV
4820,Tata Motors,Punch,2020,Diesel,Automatic,3310000,19.5,1500,7,10700,Black,First,Maharashtra,Insured,Chennai,2,1,Convertible
4821,Kia,EV6,2020,Electric,Manual,800000,18.1,2500,4,5800,Blue,Second,West Bengal,Not Insured,Chennai,3,2,Sedan
4822,Skoda,Slavia,2017,Diesel,Manual,1170000,22.3,1000,6,15400,Green,Second,West Bengal,Not Insured,Pune,3,1,Sedan
4823,Mahindra,Thar,2018,CNG,Manual,1760000,10.3,1500,4,21500,Black,Second,Telangana,Insured,Sanand,7,5,Sedan
4824,Hyundai,i10,2024,Electric,Manual,870000,21,1800,7,21400,White,Fourth & Above,Gujarat,Not Insured,Chennai,0,1,Coupe
4825,Skoda,Rapid,2020,Petrol,Automatic,430000,16.6,800,5,12900,Black,Second,Delhi,Insured,Pune,0,4,Coupe
4826,Kia,Carens,2021,Petrol,Manual,2730000,17.3,1800,5,9700,White,Third,West Bengal,Insured,Manesar,7,5,SUV
4827,Mahindra,XUV300,2019,CNG,Automatic,1610000,29.3,1500,5,21100,Black,Second,Telangana,Not Insured,Chennai,1,3,Coupe
4828,Renault,Duster,2019,Petrol,Manual,1930000,18.3,1200,6,12600,Red,First,Delhi,Not Insured,Surat,10,0,Hatchback
4829,Honda,WR-V,2021,CNG,Manual,720000,17.5,1800,4,7000,Grey,Second,Delhi,Insured,Chennai,5,3,Convertible
4830,Mahindra,XUV300,2024,Diesel,Manual,1480000,20.7,1200,4,16200,Red,Second,Gujarat,Not Insured,Manesar,8,4,SUV
4831,Toyota,Camry,2019,Electric,Automatic,1560000,14.6,1000,6,17300,Red,Fourth & Above,Tamil Nadu,Insured,Manesar,0,5,Hatchback
4832,Hyundai,Venue,2022,Petrol,Manual,930000,26.3,800,7,23300,Grey,Third,Telangana,Not Insured,Chennai,0,0,Sedan
4833,Kia,EV6,2023,CNG,Automatic,2640000,22.3,1200,4,14500,Grey,Second,Tamil Nadu,Not Insured,Manesar,9,2,Hatchback
4834,Mahindra,Thar,2019,Electric,Automatic,430000,17,1200,7,20600,Blue,Third,Tamil Nadu,Insured,Pune,7,4,Convertible
4835,Skoda,Octavia,2021,CNG,Manual,660000,13.3,1000,5,19600,Green,First,Telangana,Not Insured,Chennai,1,0,SUV
4836,Renault,Duster,2019,Diesel,Manual,2630000,10.1,2000,4,13200,Green,Fourth & Above,Karnataka,Not Insured,Chennai,4,1,Convertible
4837,Hyundai,Verna,2017,Electric,Manual,2300000,15.7,2500,5,20800,Blue,Third,Gujarat,Insured,Gurgaon,10,4,Sedan
4838,Mahindra,XUV300,2016,Electric,Manual,1360000,18.5,1500,7,18500,Red,Fourth & Above,Telangana,Insured,Surat,0,0,SUV
4839,Volkswagen,Polo,,Diesel,Manual,1560000,24.1,1200,5,13900,Red,Second,Delhi,Insured,Chennai,8,2,Hatchback
4840,Maruti Suzuki,Baleno,2021,Diesel,Automatic,430000,13.8,2000,4,10300,White,First,Telangana,Insured,Gurgaon,6,3,Hatchback
4841,Tata Motors,Altroz,2020,Petrol,Automatic,1250000,19.7,1500,4,17700,White,Fourth & Above,West Bengal,Insured,Manesar,3,1,Hatchback
4842,Kia,EV6,2017,Diesel,Automatic,1980000,18.1,1500,5,7100,Green,Second,Telangana,Insured,Surat,3,1,Convertible
4843,Maruti Suzuki,Baleno,2023,CNG,Automatic,620000,27.5,1500,7,10900,Blue,Third,Karnataka,Not Insured,Surat,2,0,Hatchback
4844,Volkswagen,Taigun,2024,Diesel,Automatic,1080000,28,1200,6,17100,Silver,First,Tamil Nadu,Insured,Manesar,3,1,Convertible
4845,Maruti Suzuki,WagonR,2021,Diesel,Manual,800000,20.7,1000,5,14100,Silver,First,Maharashtra,Insured,Pune,4,3,SUV
4846,Maruti Suzuki,Swift,2023,Electric,Manual,2210000,23.1,800,4,22200,Blue,Third,Karnataka,Insured,Gurgaon,3,3,Sedan
4847,Hyundai,i10,2017,Diesel,Manual,2220000,21.8,1200,4,6300,White,Third,Karnataka,Not Insured,Chennai,0,4,SUV
4848,Skoda,Slavia,2019,Diesel,Automatic,720000,19.3,1500,4,14400,Green,First,Gujarat,Insured,Gurgaon,6,5,Coupe
4849,Toyota,Innova,2022,Diesel,Automatic,2620000,27.7,1800,5,22400,Green,Fourth & Above,West Bengal,Insured,Manesar,5,4,Coupe
4850,Tata Motors,Tiago,2016,Electric,Automatic,2360000,12.2,2500,6,25000,White,First,Karnataka,Not Insured,Manesar,8,3,Convertible
4851,Renault,Triber,2024,Petrol,Automatic,1810000,28.4,1000,6,10000,Silver,Third,Telangana,Not Insured,Pune,7,2,Coupe
4852,Renault,Lodgy,2022,CNG,Manual,1510000,11.1,800,7,5300,Black,Fourth & Above,West Bengal,Insured,Surat,4,2,Convertible
4853,Kia,Sonet,2020,Petrol,Automatic,1380000,27.9,1800,6,9900,Black,Second,Gujarat,Not Insured,Surat,4,2,Hatchback
4854,Kia,Carens,2021,Electric,Automatic,490000,14.9,2500,4,12800,White,First,Telangana,Not Insured,Manesar,8,2,Hatchback
4855,Honda,Amaze,2022,Diesel,Manual,1710000,29.8,2500,6,14600,Black,Third,Maharashtra,Insured,Gurgaon,8,1,Hatchback
4856,Kia,Carnival,2017,CNG,Manual,2720000,14.8,1200,5,18900,Grey,Second,Delhi,Insured,Surat,8,3,Convertible
4857,Kia,EV6,2023,Diesel,Automatic,2420000,20,1500,7,15900,Blue,First,Delhi,Insured,Chennai,3,0,SUV
4858,Skoda,Octavia,2015,Diesel,Manual,2180000,22,2000,4,13800,Blue,First,Tamil Nadu,Not Insured,Chennai,9,2,Coupe
4859,Skoda,Kushaq,2018,Diesel,Manual,450000,29.4,800,5,5200,White,Fourth & Above,Tamil Nadu,Insured,Gurgaon,10,0,Sedan
4860,Hyundai,Creta,2023,Diesel,Automatic,3080000,12.9,2000,5,13900,Red,Third,Maharashtra,Not Insured,Pune,2,0,SUV
4861,Honda,Jazz,2024,Petrol,Manual,710000,12.3,1800,5,16100,Silver,Second,Delhi,Insured,Chennai,3,3,Sedan
4862,Maruti Suzuki,Baleno,2019,Electric,Manual,2120000,,1200,7,17700,White,First,Tamil Nadu,Not Insured,Gurgaon,7,0,Sedan
4863,Skoda,Superb,2022,Diesel,Manual,2070000,13.7,1200,7,8800,Black,Fourth & Above,West Bengal,Insured,Gurgaon,5,5,Convertible
4864,Hyundai,Venue,2016,Electric,Manual,1540000,29.8,1000,6,6300,Silver,Second,Karnataka,Not Insured,Manesar,9,2,SUV
4865,Renault,Lodgy,2018,Electric,Manual,2400000,28,1200,7,11200,Red,Second,Gujarat,Insured,Surat,0,5,Convertible
4866,Kia,Seltos,2020,Diesel,Manual,3080000,26.5,2000,5,19900,Black,First,Telangana,Insured,Manesar,9,2,Sedan
4867,Honda,Jazz,2017,,Manual,1680000,11.4,1200,4,15000,Green,Second,Tamil Nadu,Insured,Surat,7,3,Convertible
4868,Hyundai,Verna,2019,Diesel,Automatic,2430000,22.6,1500,6,9800,Grey,First,Maharashtra,Not Insured,Pune,2,0,Sedan
4869,Hyundai,Verna,2020,Electric,Manual,1120000,24.5,1200,5,11500,Black,Fourth & Above,Telangana,Not Insured,Pune,2,2,Hatchback
4870,Tata Motors,Harrier,2018,Electric,Automatic,2630000,16.8,1200,5,12800,Grey,Fourth & Above,Delhi,Insured,Pune,8,1,SUV
4871,Toyota,Urban Cruiser,2015,CNG,Automatic,1980000,20.7,2000,7,19000,Silver,Second,Maharashtra,Not Insured,Gurgaon,5,4,Convertible
4872,Mahindra,XUV300,2018,Diesel,Automatic,2740000,29.8,1200,4,24400,Grey,First,Gujarat,Insured,Gurgaon,8,2,Coupe
4873,Mahindra,XUV700,2017,Petrol,Automatic,2750000,12.6,2500,6,16300,Silver,Third,Gujarat,Not Insured,Manesar,2,0,SUV
4874,Hyundai,i20,2023,Petrol,Manual,3210000,16.5,1000,6,11200,Silver,Fourth & Above,Maharashtra,Insured,Chennai,10,4,Convertible
4875,Skoda,Superb,2020,CNG,Manual,2640000,23.3,1500,5,15800,Silver,First,Tamil Nadu,Not Insured,Surat,5,3,Sedan
4876,Hyundai,i10,2022,CNG,Automatic,2890000,16.8,1200,5,14900,Silver,First,Tamil Nadu,Not Insured,Surat,8,4,Convertible
4877,Mahindra,XUV700,2015,Diesel,Automatic,1840000,24.6,2000,4,11200,Silver,First,Delhi,Not Insured,Pune,5,3,Hatchback
4878,Mahindra,XUV700,2024,Electric,Manual,2990000,24.7,2000,6,18200,Black,Second,West Bengal,Not Insured,Surat,4,2,Convertible
4879,Hyundai,i10,2016,Diesel,Automatic,3160000,23.1,1500,6,17800,Silver,Third,Delhi,Not Insured,Sanand,5,2,Hatchback
4880,Mahindra,Scorpio,2016,CNG,Automatic,2560000,13.9,1200,5,19700,Black,Second,Karnataka,Insured,Pune,5,0,SUV
4881,Honda,Civic,2015,CNG,Manual,1440000,20.3,1000,4,22200,Silver,Fourth & Above,West Bengal,Not Insured,Surat,1,1,SUV
4882,Maruti Suzuki,Swift,2018,Petrol,Automatic,1460000,27.1,1000,7,17900,Grey,Second,Telangana,Not Insured,Manesar,3,1,Convertible
4883,Volkswagen,Polo,2015,Electric,Automatic,3470000,19.7,2000,5,19100,Green,First,Karnataka,Not Insured,Surat,9,2,SUV
4884,Tata Motors,Altroz,2018,Petrol,Automatic,1740000,16.9,1800,6,16200,Silver,Second,Delhi,Not Insured,Gurgaon,1,5,Convertible
4885,Toyota,Camry,2023,Electric,Automatic,2810000,22.4,1800,5,20900,Red,First,West Bengal,Insured,Manesar,9,4,Sedan
4886,Honda,Jazz,2017,Diesel,Manual,2050000,22,1200,5,,Silver,Third,West Bengal,Not Insured,Manesar,6,4,Sedan
4887,Hyundai,Venue,2021,CNG,Manual,600000,18.7,2000,5,22400,Silver,Second,Karnataka,Not Insured,Manesar,0,5,Coupe
4888,Honda,Jazz,2024,Diesel,Manual,2700000,25,1000,5,20200,Grey,Second,Maharashtra,Insured,Sanand,3,4,Coupe
4889,Volkswagen,Vento,2015,CNG,Manual,820000,29,1000,5,24500,Blue,Second,Tamil Nadu,Insured,Sanand,4,4,Coupe
4890,Hyundai,i20,2017,Diesel,Automatic,1150000,15.5,1200,7,24500,Grey,First,West Bengal,Not Insured,Surat,8,3,Hatchback
4891,Renault,Triber,2016,Diesel,Automatic,3090000,24.9,1800,6,7700,Red,First,Telangana,Insured,Pune,2,5,Coupe
4892,Hyundai,Venue,2023,Electric,Manual,2240000,29.8,1200,6,22800,Blue,Second,Telangana,Not Insured,Surat,3,1,Hatchback
4893,Honda,Civic,2021,Electric,Manual,1150000,18.5,2000,7,15400,White,Second,West Bengal,Not Insured,Surat,6,2,Coupe
4894,Kia,Sonet,2019,Electric,Manual,2370000,16.1,800,5,14700,White,Third,Karnataka,Insured,Surat,7,4,SUV
4895,Volkswagen,Polo,2016,CNG,Automatic,520000,12.1,2000,5,12900,Red,Third,West Bengal,Not Insured,Gurgaon,8,3,Sedan
4896,Renault,Lodgy,2016,Petrol,Automatic,950000,12.5,1200,6,16600,Grey,Fourth & Above,Karnataka,Insured,Manesar,8,4,Convertible
4897,Honda,Civic,2019,Petrol,Automatic,2870000,23.8,1200,7,11600,Black,Third,Maharashtra,Insured,Chennai,3,1,Convertible
4898,Renault,Lodgy,2015,CNG,Manual,2410000,19.1,2000,7,10200,Red,Third,Telangana,Not Insured,Pune,8,3,Coupe
4899,Kia,EV6,2017,Diesel,Manual,1720000,19.7,1800,4,13100,Green,Third,West Bengal,Not Insured,Pune,7,1,SUV
4900,Maruti Suzuki,Ertiga,2024,CNG,Manual,3180000,16.9,1200,4,9800,Blue,First,Gujarat,Insured,Manesar,3,2,Convertible
4901,Renault,Lodgy,2015,Diesel,Manual,1920000,27,800,4,21000,Blue,Third,Delhi,Not Insured,Pune,6,3,Sedan
4902,Hyundai,Venue,2023,Petrol,Manual,850000,15.7,1200,7,21700,Silver,Third,Telangana,Insured,Manesar,9,0,Sedan
4903,Toyota,Camry,2023,Petrol,Manual,1640000,18,1800,5,6500,White,Second,Maharashtra,Insured,Pune,10,0,Hatchback
4904,Mahindra,XUV700,2021,Diesel,Manual,750000,16.5,1800,7,10000,Blue,First,Gujarat,Insured,Surat,3,3,Hatchback
4905,Toyota,Fortuner,2018,CNG,Automatic,870000,17.3,2000,6,15000,Red,Fourth & Above,Telangana,Insured,Gurgaon,2,5,Convertible
4906,Renault,Duster,2015,CNG,Manual,2270000,19.7,1200,5,18200,Blue,Fourth & Above,Maharashtra,Not Insured,Pune,3,1,Hatchback
4907,Maruti Suzuki,Dzire,2024,Diesel,Manual,1130000,25,1800,5,13000,Red,Third,Tamil Nadu,Not Insured,Pune,8,2,SUV
4908,Kia,Carens,2022,Diesel,Automatic,3110000,29,800,4,9300,Black,Fourth & Above,Maharashtra,Not Insured,Chennai,0,5,Convertible
4909,Maruti Suzuki,Swift,2015,Petrol,Manual,2910000,16.4,1000,6,6400,Silver,Fourth & Above,Maharashtra,Not Insured,Gurgaon,0,2,Sedan
4910,Volkswagen,Polo,2024,Petrol,Manual,1200000,15.1,800,6,11700,White,Fourth & Above,Tamil Nadu,Not Insured,Surat,4,0,Hatchback
4911,Kia,Carens,2023,Electric,Manual,1100000,29,1800,5,20200,Blue,Third,West Bengal,Not Insured,Gurgaon,3,2,Hatchback
4912,Skoda,Rapid,2017,Electric,Automatic,2290000,24.7,800,6,5200,Red,Fourth & Above,Delhi,Insured,Gurgaon,6,0,Sedan
4913,Kia,Carnival,2016,Electric,Automatic,3240000,19.2,2500,7,10100,Grey,Third,Gujarat,Not Insured,Pune,4,3,Sedan
4914,Kia,Seltos,2017,Diesel,Manual,1390000,13.3,800,7,10100,White,Second,Telangana,Insured,Sanand,7,4,Convertible
4915,Tata Motors,Punch,2016,Diesel,Automatic,1690000,22.5,800,7,11400,Black,Second,Karnataka,Insured,Pune,5,3,Convertible
4916,Toyota,Camry,2020,CNG,Automatic,920000,27.7,800,4,18700,Red,Fourth & Above,Delhi,Insured,Manesar,8,5,Convertible
4917,Maruti Suzuki,Baleno,2023,Petrol,Automatic,1980000,23.4,2500,7,23500,Green,Second,Telangana,Not Insured,Chennai,4,2,Convertible
4918,Volkswagen,Tiguan,2015,Electric,Manual,1070000,12.4,1800,7,10800,Green,Third,Maharashtra,Insured,Gurgaon,6,0,Hatchback
4919,Mahindra,XUV700,2020,Electric,Automatic,3410000,12.1,1800,4,7300,Silver,Second,Karnataka,Not Insured,Manesar,6,4,Hatchback
4920,Tata Motors,Harrier,2020,Diesel,Automatic,690000,13.7,2500,6,12200,Silver,Fourth & Above,Tamil Nadu,Insured,Surat,4,1,SUV
4921,Maruti Suzuki,Dzire,2018,Electric,Automatic,3220000,23.7,1500,7,5900,Black,Third,Delhi,Not Insured,Manesar,8,3,SUV
4922,Renault,Kwid,2018,Diesel,Manual,2310000,20.7,1200,6,17200,Black,First,West Bengal,Not Insured,Sanand,6,4,Convertible
4923,Kia,EV6,2017,Petrol,Manual,1690000,12.8,1200,4,21200,Silver,Third,Gujarat,Not Insured,Gurgaon,7,2,Convertible
4924,Volkswagen,Taigun,2015,CNG,Manual,2140000,17.3,2000,4,23200,Blue,Second,Delhi,Not Insured,Pune,4,4,Sedan
4925,Skoda,Superb,2015,Petrol,Automatic,630000,11.4,2000,7,23800,Blue,First,Delhi,Not Insured,Gurgaon,1,2,Coupe
4926,Honda,City,2018,Electric,Automatic,1160000,13.3,1800,5,20500,Red,Third,West Bengal,Insured,Chennai,6,1,SUV
4927,Mahindra,Scorpio,2021,Electric,Manual,3260000,10.6,1800,5,22600,Grey,First,Karnataka,Not Insured,Gurgaon,3,0,Sedan
4928,Mahindra,XUV300,2017,Electric,Automatic,1790000,14.7,1000,6,20200,Red,First,Tamil Nadu,Not Insured,Manesar,7,1,Sedan
4929,Honda,Civic,2021,Diesel,Manual,2600000,12.1,1500,4,6000,Grey,First,West Bengal,Insured,Manesar,1,3,Sedan
4930,Skoda,Rapid,2024,Diesel,Manual,3040000,25.7,1800,5,19500,Black,Third,Telangana,Not Insured,Pune,2,1,Coupe
4931,Maruti Suzuki,Ertiga,2023,Petrol,Manual,2280000,21.1,2500,7,16600,White,Second,Tamil Nadu,Not Insured,Pune,0,2,Convertible
4932,Hyundai,Venue,2024,Petrol,Automatic,3380000,17.1,1800,7,11600,Red,Third,West Bengal,Not Insured,Pune,6,2,Coupe
4933,Mahindra,XUV300,2021,CNG,Manual,2510000,14.5,1200,5,19400,Red,Second,Delhi,Not Insured,Surat,3,2,Convertible
4934,Renault,Duster,2018,Petrol,Automatic,2030000,14.6,1800,4,24500,Grey,Third,Tamil Nadu,Not Insured,Chennai,1,4,Hatchback
4935,Hyundai,Verna,2019,Petrol,Manual,2070000,20.7,1800,6,13300,Black,Third,Karnataka,Insured,Surat,7,5,SUV
4936,Volkswagen,Virtus,2022,Electric,Automatic,2030000,20,1500,4,21400,Black,Third,Karnataka,Not Insured,Surat,5,0,SUV
4937,Hyundai,Creta,2024,Diesel,Manual,960000,25.5,800,5,22200,Green,Second,Gujarat,Insured,Surat,5,5,Hatchback
4938,Mahindra,Bolero,2016,Diesel,Automatic,500000,20.6,1200,7,16200,Grey,Third,Tamil Nadu,Not Insured,Gurgaon,2,0,SUV
4939,Tata Motors,Altroz,2022,Diesel,Manual,3180000,12.3,1500,6,9100,Black,First,Gujarat,Insured,Sanand,9,4,SUV
4940,Kia,EV6,2022,Electric,Manual,1220000,29.9,1000,5,21200,Silver,Third,Telangana,Insured,Gurgaon,7,3,SUV
4941,Volkswagen,Polo,2022,Diesel,Automatic,2090000,11.7,1200,6,20500,Blue,First,West Bengal,Insured,Pune,7,3,Sedan
4942,Tata Motors,Nexon,2019,Electric,Automatic,1350000,12.5,1500,5,12700,Green,Fourth & Above,Maharashtra,Not Insured,Chennai,6,5,Coupe
4943,Maruti Suzuki,Swift,2024,Petrol,Manual,1430000,15.4,1200,6,16700,Silver,Fourth & Above,Telangana,Not Insured,Surat,0,1,Convertible
4944,Kia,Sonet,2018,CNG,Manual,730000,28.4,2500,7,13400,White,Second,Karnataka,Insured,Gurgaon,1,0,SUV
4945,Hyundai,Verna,2020,Diesel,Automatic,1640000,16.8,1000,7,20100,Red,Second,Delhi,Not Insured,Manesar,4,1,Sedan
4946,Honda,Amaze,2024,Petrol,Manual,2870000,21.8,1200,4,15400,Green,Fourth & Above,Karnataka,Not Insured,Surat,5,2,Coupe
4947,Toyota,Camry,2024,Diesel,Automatic,1500000,14.1,2000,5,15100,White,Third,Maharashtra,Insured,Gurgaon,8,3,Sedan
4948,Kia,Seltos,2017,Electric,Automatic,2990000,14.3,2000,7,15200,Red,Third,Delhi,Not Insured,Manesar,4,0,Hatchback
4949,Hyundai,i10,2022,Diesel,Manual,430000,26.8,800,4,16700,Blue,Third,Tamil Nadu,Insured,Gurgaon,0,3,SUV
4950,Maruti Suzuki,WagonR,2022,Electric,Manual,1330000,16.8,2000,5,6500,Black,Fourth & Above,Tamil Nadu,Not Insured,Gurgaon,8,2,Sedan
4951,Mahindra,XUV700,2019,CNG,Automatic,580000,16.1,2500,7,5100,Silver,First,Telangana,Insured,Surat,1,5,Convertible
4952,Hyundai,i10,2016,Electric,Manual,2420000,23.5,800,5,21400,Grey,Second,Karnataka,Not Insured,Gurgaon,1,3,Hatchback
4953,Hyundai,Creta,2021,Electric,Automatic,2190000,27,1800,5,16700,Silver,First,Delhi,Not Insured,Pune,4,0,Coupe
4954,Maruti Suzuki,Baleno,2024,Diesel,Automatic,1190000,24.7,1500,5,7200,Blue,Fourth & Above,West Bengal,Insured,Manesar,4,2,Hatchback
4955,Skoda,Octavia,2018,Electric,Automatic,1580000,11.6,1000,4,21300,White,First,Delhi,Insured,Chennai,1,1,Convertible
4956,Honda,Amaze,2022,Petrol,Manual,2810000,25.1,1500,6,11900,Grey,Third,Gujarat,Not Insured,Sanand,5,5,Convertible
4957,Mahindra,Bolero,2020,Electric,Automatic,2920000,19.4,1000,4,20300,Black,Third,Maharashtra,Insured,Surat,7,3,Hatchback
4958,Maruti Suzuki,Ertiga,2021,Petrol,Automatic,2680000,17.1,2500,5,18400,Blue,First,Telangana,Insured,Manesar,2,2,Convertible
4959,Maruti Suzuki,Dzire,2024,Electric,Automatic,550000,22.7,1800,7,10300,Grey,Fourth & Above,Tamil Nadu,Insured,Pune,8,1,Sedan
4960,Skoda,Superb,2017,Electric,Manual,2010000,15.9,1000,4,22500,Blue,First,Karnataka,Insured,Manesar,1,1,Hatchback
4961,Kia,Carens,2016,Petrol,Automatic,2840000,21.7,800,7,6400,Blue,Third,Delhi,Insured,Chennai,4,1,SUV
4962,Kia,Carnival,2018,Electric,Automatic,2870000,11.3,2000,7,20800,Black,Third,Tamil Nadu,Not Insured,Surat,3,1,Hatchback
4963,Skoda,Slavia,2017,CNG,Manual,1190000,14.3,1500,7,22200,Green,Fourth & Above,Karnataka,Insured,Manesar,6,5,Hatchback
4964,Skoda,Slavia,2024,CNG,Manual,2350000,12.5,1800,6,9400,Red,First,Tamil Nadu,Insured,Pune,1,2,Coupe
4965,Volkswagen,Taigun,2016,Diesel,Manual,1250000,14.3,800,6,18400,Grey,Third,Karnataka,Insured,Surat,1,3,Sedan
4966,Kia,Carnival,2024,Electric,Automatic,550000,10.1,1000,4,22000,Black,Third,Tamil Nadu,Insured,Pune,6,0,Convertible
4967,Honda,Amaze,2024,Petrol,Manual,1480000,25.3,1800,4,14200,Blue,First,West Bengal,Not Insured,Surat,8,5,SUV
4968,Volkswagen,Polo,2022,Petrol,Manual,3430000,24.1,1800,6,5500,Black,First,Gujarat,Insured,Sanand,6,5,Hatchback
4969,Renault,Duster,2015,Petrol,Automatic,1910000,27.4,2000,4,6200,Green,Second,Maharashtra,Not Insured,Chennai,1,4,Coupe
4970,Hyundai,i20,2015,Diesel,Manual,1380000,27.6,800,6,24400,Red,Fourth & Above,Tamil Nadu,Not Insured,Sanand,1,0,SUV
4971,Toyota,Fortuner,2016,Diesel,Manual,3060000,14,1000,7,8400,Silver,Fourth & Above,Maharashtra,Insured,Gurgaon,4,0,Sedan
4972,Mahindra,XUV300,2022,Petrol,Automatic,3360000,17,800,5,10600,Grey,First,Tamil Nadu,Insured,Pune,6,0,Convertible
4973,Skoda,Rapid,2016,CNG,Automatic,2760000,24.4,1000,7,16800,Red,Fourth & Above,Telangana,Not Insured,Sanand,0,2,Convertible
4974,Volkswagen,Vento,2024,CNG,Manual,1240000,22.2,1200,5,20600,White,Third,Delhi,Not Insured,Pune,3,4,Coupe
4975,Honda,WR-V,2021,Petrol,Manual,1710000,19.1,1800,7,13900,Grey,First,Gujarat,Not Insured,Surat,6,5,Hatchback
4976,Tata Motors,Nexon,2018,Diesel,Manual,1540000,21.5,800,6,22600,Red,First,Telangana,Insured,Pune,1,0,Coupe
4977,Volkswagen,Polo,2019,CNG,Automatic,2880000,19.4,1200,5,11300,Blue,First,West Bengal,Not Insured,Gurgaon,1,1,Convertible
4978,Skoda,Octavia,2015,Diesel,Automatic,1160000,15.8,1800,4,5300,Grey,Second,Gujarat,Insured,Pune,8,4,Sedan
4979,Honda,Civic,2019,Electric,Manual,2330000,23.6,1800,6,6700,Grey,Fourth & Above,Maharashtra,Not Insured,Surat,9,5,SUV
4980,Toyota,Camry,2023,CNG,Automatic,1230000,17.5,800,4,19000,Black,Second,Delhi,Not Insured,Surat,2,3,Coupe
4981,Kia,EV6,2024,Electric,Manual,3160000,29.9,2000,6,6700,Blue,Third,Karnataka,Insured,Sanand,6,0,Sedan
4982,Tata Motors,Altroz,2017,Diesel,Manual,2480000,26.1,1800,5,24400,White,Fourth & Above,Telangana,Insured,Chennai,0,4,SUV
4983,Volkswagen,Taigun,2016,CNG,Automatic,3480000,17.7,800,5,18100,Silver,Second,Gujarat,Not Insured,Manesar,5,4,SUV
4984,Skoda,Slavia,2022,CNG,Automatic,680000,22.4,2000,4,20000,Green,First,West Bengal,Insured,Sanand,5,4,SUV
4985,Mahindra,Thar,2019,Diesel,Automatic,3030000,11,1800,4,15100,Red,Second,Telangana,Insured,Gurgaon,5,2,Hatchback
4986,Skoda,Slavia,2019,Electric,Automatic,2610000,28.3,800,4,20900,Black,First,Delhi,Not Insured,Manesar,10,0,Coupe
4987,Tata Motors,Punch,2017,Diesel,Automatic,1680000,23.4,1000,6,6500,Red,Second,Delhi,Insured,Pune,4,4,SUV
4988,Honda,Jazz,2019,Electric,Manual,2920000,25.6,1800,6,20500,White,Second,Maharashtra,Insured,Sanand,6,4,Sedan
4989,Skoda,Kushaq,2015,Petrol,Manual,1880000,12.6,1800,7,19000,White,Second,West Bengal,Not Insured,Manesar,5,5,Coupe
4990,Renault,Triber,2019,Diesel,Automatic,1940000,17.1,800,7,6900,Grey,First,Delhi,Not Insured,Sanand,4,2,Hatchback
4991,Skoda,Kushaq,2016,Electric,Manual,2650000,17.7,1800,4,15200,Green,Second,Delhi,Insured,Pune,2,1,Coupe
4992,Skoda,Slavia,2018,CNG,Manual,2760000,12.9,1000,4,7200,White,Fourth & Above,Karnataka,Insured,Surat,6,3,Coupe
4993,Skoda,Slavia,2021,CNG,Manual,3210000,27.5,1500,4,14100,Red,Fourth & Above,Maharashtra,Insured,Sanand,8,2,Coupe
4994,Mahindra,Bolero,2022,Electric,Automatic,1350000,14.9,1000,5,5600,Blue,Fourth & Above,Maharashtra,Not Insured,Gurgaon,3,4,Sedan
4995,Volkswagen,Vento,2020,Electric,Manual,3320000,23.9,2500,7,12400,Blue,First,West Bengal,Not Insured,Manesar,6,5,SUV
4996,Renault,Lodgy,2017,Diesel,Manual,1760000,27.9,1800,6,24800,Grey,First,Delhi,Insured,Manesar,8,5,Hatchback
4997,Honda,Civic,2020,Electric,Automatic,2650000,27.1,1800,4,9100,Silver,Fourth & Above,Karnataka,Insured,Manesar,4,5,Convertible
4998,Renault,Lodgy,2019,Diesel,Automatic,740000,12.3,1800,4,16100,Red,Fourth & Above,Tamil Nadu,Insured,Sanand,3,5,Coupe
4999,Honda,WR-V,2023,CNG,Manual,1710000,15.8,1200,6,12500,Red,Fourth & Above,Gujarat,Not Insured,Pune,7,0,Convertible
5000,Honda,Jazz,2019,Electric,Automatic,2030000,15.6,1000,7,21400,White,Third,Telangana,Not Insured,Sanand,7,1,Sedan
5001,Kia,Carnival,2018,Petrol,Automatic,1330000,21.5,1800,4,14000,Green,Fourth & Above,Maharashtra,Insured,Sanand,1,3,Convertible
5002,Toyota,Glanza,2024,Diesel,Manual,3180000,30,1000,5,8600,Red,Second,Karnataka,Insured,Surat,4,4,SUV
5003,Renault,Kiger,2017,CNG,Automatic,3060000,28.5,800,5,12200,Black,Third,West Bengal,Insured,Manesar,0,0,Coupe
5004,Mahindra,XUV300,2016,Diesel,Automatic,2980000,28.1,1800,5,15300,Silver,Third,Karnataka,Insured,Pune,3,3,SUV
5005,Skoda,Superb,2017,Petrol,Automatic,1810000,19.9,1500,7,8100,White,First,Delhi,Not Insured,Chennai,4,4,Sedan
